sku,name,supplier,replacement_sku,is_exchange
000000000,בית פנס לריאו,,,לא
000909162,"קטלוג ח""ח נגמשים כרך א",,,לא
000909173,"קטלוג ח""ח נגמשים כרך ב",,,לא
000909386,קטלוג חח ריאו קמינס דיזל כרך א,,,לא
000909394,קטלוג חח ריאו קמינס דיזל כרך ב,,,לא
000909408,"קטלוג ח""ח האמר A2 כרך א",,,לא
000909416,"קטלוג ח""ח האמר A2 כרך ב",,,לא
000909548,ללא שם,,,לא
000910236,"קטלוג ח""ח; משאית אושקוש, כרך א",,,לא
000910244,"קטלוג ח""ח; משאית אושקוש, כרך ב",,,לא
010014204,"צב""ד יעודי להעברת הילוכים",,,לא
010577144,פין וו גרירה,,,לא
010577195,תותב וו גרירה אחורי ומגן גחון,,,לא
0107-39527,פין מנוף ( בורג להילוכי חירום ),,,לא
010739527,פין מנוף ( בורג להילוכי חירום ),,,לא
010744539,קפיץ מערכת מאיץ פומה / מרכבה,,,לא
010791642,חבק למיכל כבוי אש,,,לא
011335357,מתג ראשי 24 וולט 1753361,,,לא
011335390,מתג תאורה מכלל,,,לא
011341152,סילב 24 וולט,,,לא
011343554,כפתור מתג פנס תקרה,,,לא
011345638,שקע התנעה בין טנקים,,,לא
011348807,מחבר גומי מהיר נקבי,,,לא
011348815,שרוול פלסטי למחבר חשמלי אטום,,,לא
011348890,סופית חיבור כבל למחבר אטום,,,לא
011356990,נתיך אוטומטי 50A,,,לא
011427553,פין למחבר,,,לא
011513808,"מכסה פתח מץדלק נגמ""ש",,,לא
011515967,ברך צינור הרקה משאבת מזרק,,,לא
011528473,נתיך 15 אמפר,,,לא
011528740,דסקית עצירה סופית כבל,,,לא
011530168,מחבר גומי מהיר זיכרי,,,לא
011531547,יחידת שליחה לחץ נמוך מנוע,,,לא
011535160,מחבר נקבה,,,לא
0116-22003,מחבר זרנוק יניקת אוויר,,,לא
011600468,לולב מחבר מקבע אחורי מנוע,,,לא
011607369,גלאי אש,,,לא
011610102,יחידת שליחה חום מנוע וממסרת,,,לא
011616178,מאוורר למנוע מגח/שוט/מרכבה,,,לא
011621953,פומה/מרכבה - זרנוק יניקת אויר,,,לא
011622003,צמיד מחבר זרנוק יניקת אוויר,,,לא
011623174,רפוד,,,לא
011623506,מפוח מכלל,,,לא
011623697,זרנוק גומי למש פינוי אבק,,,לא
011623700,משאבת פינוי,,,כן
011623930,"אטם קונדסטור לבית מש""ת דלק",,,לא
011623948,אטם למכסה פתח מש',,,לא
011624057,ברז סוגר מעבר מיכלי דלק,,,לא
011624065,אטם לצינור מחבר מיכלידלק,,,לא
011624685,דיסקית שתוחה 3/8,,,לא
011624723,כבל הארקה למיכלי דלק,,,לא
011628338,אטם מסננת דלק משנית,,,לא
011629474,צינורית דלק למחמם סעפת,,,לא
011635750,מברשת מגע חשמלי,,,לא
011639739,מחוון חום שמן מנוע 1335659,,,לא
011640389,נורית אזהרה לוח מחוונים,,,לא
011641709,מתג בורר דלק מכלל,,,לא
011644716,פנס אחורי בילום שמאלי,,,לא
